Hotel_Name,Hotel_Address,Average_Score,lat,lng,location,country,address
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,7.7,52.3605759,4.9159683,Amsterdam,Netherlands,"Hotel Arena, 55, 's-Gravesandestraat, Oosterparkbuurt, Oost, Amsterdam, North Holland, Netherlands, 1092 AA, Netherlands"
K K Hotel George,1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom,8.5,51.4918878,-0.1949706,London,United Kingdom,"K+K Hotel George, 1-15, Templeton Place, Earl's Court, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW5 9NB, United Kingdom"
Apex Temple Court Hotel,1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom,9.2,51.5137335,-0.1087512,London,United Kingdom,"London, Greater London, United Kingdom"
The Park Grand London Paddington,1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,7.7,51.5142184,-0.1809032,London,United Kingdom,"389, Queen's Road, New Cross Gate, London, Greater London, SE14 5HD, United Kingdom"
Monhotel Lounge SPA,1 3 Rue d Argentine 16th arr 75116 Paris France,8.4,48.8743481,2.2897334,Paris,France,"3, Rue Du Dôme, Chaillot, Paris, Paris, 75016, France"
Kube Hotel Ice Bar,1 5 Passage Ruelle 18th arr 75018 Paris France,7.2,48.88657,2.3588332,Paris,France,"5, Passage Ruelle, La Goutte d'Or, Paris, Paris, 75018, France"
The Principal London,1 8 Russell Square Camden London WC1B 5BE United Kingdom,8.0,51.5226217,-0.1251602,London,United Kingdom,"Galvin Bar & Grill, 1-8, Russell Square, Bloomsbury, London Borough of Camden, London, Greater London, England, WC1B 5BE, United Kingdom"
Park Plaza County Hall London,1 Addington Street Lambeth London SE1 7RY United Kingdom,8.4,51.5014001,-0.1160092,London,United Kingdom,"Park Plaza Hotels, 1, Addington Street, Waterloo, London Borough of Lambeth, London, Greater London, England, SE1 7RY, United Kingdom"
One Aldwych,1 Aldwych Westminster Borough London WC2B 4BZ United Kingdom,9.2,51.5117832,-0.1194172,London,United Kingdom,"1, Aldwych, Aldwych, London, Greater London, WC2E 7DN, United Kingdom"
Splendid Etoile,1 Avenue Carnot 17th arr 75017 Paris France,8.9,48.874707,2.2936761,Paris,France,"1, Avenue Carnot, Ternes, Paris, Paris, 75017, France"
Hotel Trianon Rive Gauche,1 Bis Rue De Vaugirard 6th arr 75006 Paris France,8.2,48.8487675,2.3410376,Vitry-sur-Seine,France,"Voie 1 bis, Vitry-sur-Seine, Vitry-sur-Seine, Val-de-Marne, France"
InterContinental London Park Lane,1 Hamilton Place Park Lane Westminster Borough London W1J 7QY United Kingdom,8.5,51.5038632,-0.1504132,London,United Kingdom,"Borough, London, Greater London, SE1 0DB, United Kingdom"
Novotel Suites Paris Nord 18 me,1 Impasse Marteau 18th arr 75018 Paris France,7.4,48.9015941,2.3597783,Paris,France,"1, Impasse Calmels, Grandes Carrieres, Paris, Paris, 75018, France"
Grand Royale London Hyde Park,1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,7.7,51.5109945,-0.1863417,London,United Kingdom,"1-17, Ulster Terrace, Marylebone, London, Greater London, NW1 4PJ, United Kingdom"
Milestone Hotel Kensington,1 Kensington Court Kensington and Chelsea London W8 5DL United Kingdom,9.5,51.5020425,-0.1866541,London,United Kingdom,"The Stables Bar, 1, Kensington Court, South Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 5DL, United Kingdom"
Crowne Plaza London Kings Cross,1 Kings Cross Road Islington London WC1X 9HX United Kingdom,8.1,51.5263854,-0.1136042,London,United Kingdom,"King's Cross Road, Finsbury, London, Greater London, WC1X 9DA, United Kingdom"
Select Hotel,1 Place De La Sorbonne 5th arr 75005 Paris France,8.9,48.8483053,2.3425596,Paris,France,"1, Place De La Sorbonne, Sorbonne, Paris, Paris, 75005, France"
H tel De Vend me,1 Place Vend me 1st arr 75001 Paris France,8.7,48.8668564,2.3286339,Paris,France,"1, Place Vendôme, Place Vendome, Paris, Paris, 75001, France"
Pullman Paris Centre Bercy,1 Rue De Libourne 12th arr 75012 Paris France,8.7,48.8315204,2.3870797,Paris,France,"1, Rue De Libourne, Bercy, Paris, Paris, 75012, France"
Gardette Park Hotel,1 Rue Du G n ral Blaise 11th arr 75011 Paris France,8.2,48.8610265,2.3788974,Paris,France,"1, Rue Du Général Niessel, Charonne, Paris, Paris, 75020, France"
Hotel Panache,1 rue Geoffroy Marie 9th arr 75009 Paris France,8.6,48.8732543,2.343239,Paris,France,"1, Rue Geoffroy-Marie, Faubourg Montmartre, Paris, Paris, 75009, France"
